Test folder: ./output/december/train_data_39430/data_39430/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
------------------------------------------------------------------------------------------
mpnet     | 0.6892 | 0.7061 |  0.5   | 0.8675 | 0.9495 |  0.5   | 0.3377 | 0.234  | 0.598  
ours-4-165k| 0.8809 | 0.8997 |  0.82  | 0.9542 | 0.9774 |  0.82  | 0.385  | 0.2478 | 0.7481 
ours-4-167k| 0.8831 | 0.8997 |  0.82  | 0.9547 | 0.9763 |  0.82  | 0.384  | 0.2468 | 0.7481 
ours-4-193k| 0.8818 |  0.9   |  0.82  | 0.9552 | 0.9737 |  0.82  | 0.3843 | 0.2468 | 0.7477 
ours-4-169k| 0.8821 | 0.9008 | 0.822  | 0.9497 | 0.9735 | 0.822  | 0.382  | 0.2462 | 0.7473


ours-4-195k| 0.8804 | 0.8981 | 0.816  | 0.9555 | 0.9776 | 0.816  | 0.3847 | 0.248  | 0.747  
ours-4-189k| 0.8804 | 0.8987 | 0.813  | 0.9595 | 0.9751 | 0.813  | 0.3863 | 0.2464 | 0.7465 
ours-4-191k| 0.8789 | 0.8971 | 0.815  | 0.9573 | 0.9748 | 0.815  | 0.386  | 0.2474 | 0.7464 
ours-4-188k| 0.8774 | 0.898  | 0.817  | 0.952  | 0.9735 | 0.817  | 0.383  | 0.2456 | 0.7454 
ours-4-190k| 0.8772 | 0.8969 | 0.814  | 0.9537 | 0.9749 | 0.814  | 0.3837 | 0.2474 | 0.7452 
ours-4-162k| 0.878  | 0.8968 | 0.815  | 0.9487 | 0.9773 | 0.815  | 0.3807 | 0.2474 | 0.7449 
ours-4-170k| 0.8773 | 0.8959 | 0.814  | 0.9507 | 0.9756 | 0.814  | 0.383  | 0.2478 | 0.7448 
ours-4-196k| 0.8776 | 0.8952 |  0.81  | 0.9577 | 0.9749 |  0.81  | 0.3853 | 0.2466 | 0.7447 
ours-4-166k| 0.8783 | 0.8966 | 0.814  | 0.9492 | 0.9755 | 0.814  | 0.3817 | 0.2468 | 0.7445 
ours-4-192k| 0.8786 | 0.8954 | 0.811  | 0.9533 | 0.9745 | 0.811  | 0.384  | 0.2472 | 0.7444 
ours-4-168k| 0.8779 | 0.8956 | 0.813  | 0.9495 | 0.975  | 0.813  | 0.3833 | 0.2464 | 0.7442 
ours-4-173k| 0.8785 | 0.8966 | 0.815  | 0.9488 | 0.9736 | 0.815  | 0.3807 | 0.2452 | 0.7442 
ours-4-175k| 0.8766 | 0.8963 | 0.814  | 0.951  | 0.9722 | 0.814  | 0.3813 | 0.2446 | 0.7438 
ours-4-161k| 0.8763 | 0.8946 | 0.811  | 0.9518 | 0.9751 | 0.811  | 0.383  | 0.247  | 0.7437 
ours-4-160k| 0.8758 | 0.8946 |  0.81  | 0.953  | 0.9752 |  0.81  | 0.3837 | 0.247  | 0.7437 
ours-4-194k| 0.8783 | 0.8957 | 0.815  | 0.9433 | 0.9749 | 0.815  | 0.3797 | 0.2468 | 0.7436 
ours-4-197k| 0.8762 | 0.8948 | 0.811  | 0.9505 | 0.9733 | 0.811  | 0.3817 | 0.2462 | 0.7431


ours-3-123k| 0.8758 | 0.8961 | 0.813  | 0.9465 | 0.9754 | 0.813  | 0.378  | 0.2454 | 0.7429 
ours-4-183k| 0.875  | 0.8931 | 0.807  | 0.953  | 0.9767 | 0.807  | 0.3833 | 0.2474 | 0.7428 
ours-4-164k| 0.8742 | 0.8932 | 0.806  | 0.954  | 0.9769 | 0.806  | 0.3833 | 0.2476 | 0.7427 
ours-4-184k| 0.8735 | 0.8934 | 0.809  | 0.9515 | 0.9746 | 0.809  | 0.383  | 0.2468 | 0.7426 
ours-3-134k| 0.8722 | 0.8915 | 0.803  | 0.9535 | 0.9791 | 0.803  | 0.3833 | 0.2486 | 0.7418 
ours-3-127k| 0.8747 | 0.894  |  0.81  | 0.9453 | 0.9747 |  0.81  | 0.3787 | 0.2466 | 0.7417 
ours-4-174k| 0.8753 | 0.8913 | 0.804  | 0.9535 | 0.9754 | 0.804  | 0.3833 | 0.2466 | 0.7417 
ours-3-124k| 0.8733 | 0.8935 | 0.808  | 0.9483 | 0.9759 | 0.808  | 0.3793 | 0.246  | 0.7415 
ours-3-135k| 0.8737 | 0.8928 | 0.805  | 0.9517 | 0.9759 | 0.805  | 0.3817 | 0.2466 | 0.7415 
ours-2-86k| 0.8731 | 0.8921 | 0.808  | 0.9488 | 0.975  | 0.808  | 0.3807 | 0.2462 | 0.7415 
ours-3-149k| 0.875  | 0.8952 | 0.813  | 0.9407 | 0.9723 | 0.813  | 0.377  | 0.245  | 0.7414 
ours-4-163k| 0.8735 | 0.8915 | 0.805  | 0.9507 | 0.9751 | 0.805  | 0.382  | 0.247  | 0.7412 
ours-4-177k| 0.8729 | 0.8937 | 0.811  | 0.9428 | 0.9738 | 0.811  | 0.378  | 0.245  | 0.741  
ours-3-136k| 0.8733 | 0.8922 | 0.806  | 0.9477 | 0.9754 | 0.806  | 0.3803 | 0.2468 | 0.741  
ours-3-128k| 0.874  | 0.8925 | 0.808  | 0.9458 | 0.9747 | 0.808  | 0.379  | 0.2456 | 0.741  
ours-4-187k| 0.872  | 0.8914 | 0.803  | 0.9517 | 0.9749 | 0.803  | 0.3823 | 0.2466 | 0.7406 
ours-3-133k| 0.8723 | 0.8892 | 0.798  | 0.9555 | 0.9783 | 0.798  | 0.3847 | 0.2482 | 0.7405 
ours-3-129k| 0.8736 | 0.8926 | 0.805  | 0.9453 | 0.9767 | 0.805  | 0.3777 | 0.2472 | 0.7404 
ours-4-176k| 0.8729 | 0.892  | 0.806  | 0.9465 | 0.9745 | 0.806  | 0.379  | 0.2462 | 0.7404 
ours-4-178k| 0.8715 | 0.8904 | 0.804  | 0.9495 | 0.9747 | 0.804  | 0.382  | 0.2466 | 0.7403 
ours-2-83k| 0.8716 | 0.8907 | 0.807  | 0.9465 | 0.9734 | 0.807  | 0.3797 | 0.2452 | 0.7401 
ours-3-156k| 0.8738 | 0.8912 | 0.803  | 0.9503 | 0.972  | 0.803  | 0.3817 | 0.2456 | 0.7401 
ours-4-171k| 0.8717 | 0.8902 | 0.804  | 0.9492 | 0.9723 | 0.804  | 0.382  | 0.246  | 0.7399 
ours-3-154k| 0.8713 | 0.8886 |  0.8   | 0.952  | 0.9763 |  0.8   | 0.3823 | 0.2472 | 0.7397 
ours-3-126k| 0.8698 | 0.8899 | 0.803  | 0.9482 | 0.974  | 0.803  | 0.3793 | 0.2458 | 0.7391 
ours-4-180k| 0.8732 | 0.8893 |  0.8   | 0.9497 | 0.974  |  0.8   | 0.381  | 0.2454 | 0.7391 
ours-4-159k| 0.8712 | 0.8877 | 0.798  | 0.9505 | 0.9761 | 0.798  | 0.3833 | 0.2474 | 0.739  
ours-3-157k| 0.8723 | 0.8893 | 0.801  | 0.9487 | 0.9716 | 0.801  | 0.382  | 0.2454 | 0.7389 
ours-4-158k| 0.871  | 0.8891 |  0.8   | 0.9497 | 0.974  |  0.8   | 0.3803 | 0.2464 | 0.7388 
ours-3-138k| 0.8693 | 0.8887 | 0.799  | 0.953  | 0.9734 | 0.799  | 0.382  | 0.246  | 0.7388 
ours-4-179k| 0.8717 | 0.8894 | 0.803  | 0.9473 | 0.9715 | 0.803  | 0.3797 | 0.2444 | 0.7388 
ours-4-182k| 0.8723 | 0.8894 |  0.8   | 0.9492 | 0.9718 |  0.8   | 0.3813 | 0.2452 | 0.7386 
ours-2-101k| 0.8706 | 0.8887 | 0.798  | 0.9513 | 0.9737 | 0.798  | 0.3823 | 0.2464 | 0.7386 
ours-3-130k| 0.8701 | 0.8881 | 0.801  | 0.9485 | 0.9741 | 0.801  | 0.381  | 0.2448 | 0.7386 
ours-3-153k| 0.8697 | 0.8888 | 0.799  | 0.9495 | 0.9745 | 0.799  | 0.3807 | 0.2466 | 0.7385 
ours-3-142k| 0.8697 | 0.8891 | 0.799  | 0.9485 | 0.9757 | 0.799  |  0.38  | 0.2468 | 0.7385 
ours-2-98k| 0.871  | 0.8887 | 0.797  | 0.9518 | 0.9743 | 0.797  | 0.3817 | 0.2456 | 0.7384 
ours-2-115k| 0.8691 | 0.8899 | 0.806  | 0.9392 | 0.9755 | 0.806  | 0.3753 | 0.2456 | 0.7383 
ours-2-110k| 0.868  | 0.8884 | 0.801  | 0.9472 | 0.9746 | 0.801  |  0.38  | 0.246  | 0.7383 
ours-4-185k| 0.8693 | 0.8875 | 0.797  | 0.952  | 0.9733 | 0.797  | 0.383  | 0.2458 | 0.7381 
ours-3-122k| 0.8695 | 0.8901 | 0.802  | 0.9443 | 0.9732 | 0.802  | 0.3783 | 0.2452 | 0.7381 
ours-2-112k| 0.868  | 0.8889 | 0.802  | 0.9438 | 0.9745 | 0.802  | 0.378  | 0.2458 | 0.7379 
ours-3-140k| 0.8697 | 0.8882 | 0.801  | 0.9452 | 0.9736 | 0.801  | 0.378  | 0.2452 | 0.7377 
ours-3-146k| 0.8685 | 0.8874 | 0.798  | 0.949  | 0.9732 | 0.798  | 0.3813 | 0.2458 | 0.7377 
ours-2-82k| 0.8701 | 0.8907 | 0.805  | 0.941  | 0.9718 | 0.805  | 0.374  | 0.2434 | 0.7376 
ours-3-145k|  0.87  | 0.8895 | 0.802  | 0.9425 | 0.9728 | 0.802  | 0.3767 | 0.2448 | 0.7375 
ours-2-111k| 0.8674 | 0.8885 | 0.803  | 0.9427 | 0.9727 | 0.803  | 0.3773 | 0.245  | 0.7375 
ours-2-91k| 0.8678 | 0.888  | 0.799  | 0.9477 | 0.9735 | 0.799  |  0.38  | 0.2444 | 0.7374 
ours-3-151k| 0.8701 | 0.8895 | 0.801  | 0.944  | 0.971  | 0.801  | 0.378  | 0.244  | 0.7373 
ours-2-81k| 0.8695 | 0.8885 | 0.799  | 0.9463 | 0.9732 | 0.799  | 0.3777 | 0.2448 | 0.7373 
ours-3-125k| 0.8678 | 0.8878 | 0.799  | 0.9452 | 0.9757 | 0.799  | 0.3777 | 0.2458 | 0.7372 
ours-2-99k| 0.8689 | 0.8886 | 0.799  | 0.9458 | 0.9733 | 0.799  | 0.378  | 0.2448 | 0.7372 
ours-3-120k| 0.8696 | 0.8885 | 0.801  | 0.9408 | 0.9732 | 0.801  | 0.3773 | 0.2452 | 0.7371 
ours-2-96k| 0.8682 | 0.8876 | 0.797  | 0.9482 | 0.9736 | 0.797  | 0.379  | 0.2456 | 0.737  
ours-2-93k| 0.8695 | 0.8871 | 0.795  | 0.947  | 0.977  | 0.795  | 0.379  | 0.2462 | 0.737  
ours-3-119k| 0.869  | 0.8894 | 0.802  | 0.9388 | 0.9739 | 0.802  | 0.3753 | 0.2452 | 0.7369 
ours-3-155k| 0.8682 | 0.8848 | 0.793  | 0.9502 | 0.9773 | 0.793  | 0.381  | 0.2472 | 0.7368 
ours-4-181k| 0.8689 | 0.887  | 0.798  | 0.946  | 0.9719 | 0.798  | 0.3793 | 0.2446 | 0.7367 
ours-2-102k| 0.8666 | 0.8844 | 0.791  | 0.9525 | 0.9783 | 0.791  | 0.382  | 0.2478 | 0.7367 
ours-3-139k| 0.8683 | 0.8853 | 0.793  | 0.9512 | 0.9737 | 0.793  | 0.3823 | 0.2458 | 0.7366 
ours-3-132k| 0.8669 | 0.8845 | 0.791  | 0.954  | 0.9747 | 0.791  | 0.383  | 0.2464 | 0.7364 
ours-2-97k| 0.8677 | 0.8875 | 0.796  | 0.9448 | 0.9744 | 0.796  | 0.3767 | 0.246  | 0.7361 
ours-2-116k| 0.8653 | 0.8864 | 0.797  | 0.9435 | 0.9754 | 0.797  | 0.3777 | 0.2466 | 0.7361 
ours-1-78k| 0.8653 | 0.8869 | 0.798  | 0.9447 | 0.9739 | 0.798  | 0.3773 | 0.2444 | 0.7361 
ours-3-141k| 0.8676 | 0.8862 | 0.796  | 0.9448 | 0.9733 | 0.796  | 0.3787 | 0.2456 | 0.736  
ours-2-80k| 0.8664 | 0.888  |  0.8   | 0.9393 | 0.9738 |  0.8   | 0.3753 | 0.245  | 0.736  
ours-2-107k| 0.8686 | 0.8848 | 0.792  | 0.9483 | 0.9749 | 0.792  | 0.3803 | 0.2468 | 0.736  
ours-3-131k| 0.8663 | 0.8856 | 0.792  | 0.9483 | 0.9762 | 0.792  |  0.38  | 0.2464 | 0.7359 
ours-3-152k| 0.8667 | 0.8857 | 0.796  | 0.947  | 0.9705 | 0.796  | 0.379  | 0.2446 | 0.7357 
ours-2-113k| 0.8661 | 0.8877 | 0.801  | 0.9388 |  0.97  | 0.801  | 0.376  | 0.2444 | 0.7356 
ours-3-150k| 0.8669 | 0.8876 | 0.801  | 0.9387 | 0.9701 | 0.801  | 0.3747 | 0.2434 | 0.7354 
ours-2-114k| 0.8654 | 0.8848 | 0.795  | 0.9453 | 0.9727 | 0.795  | 0.3787 | 0.2456 | 0.7353 
ours-2-100k| 0.8658 | 0.885  | 0.791  | 0.9488 | 0.9751 | 0.791  | 0.3797 | 0.2462 | 0.7353 
ours-2-106k| 0.8656 | 0.8843 |  0.79  | 0.9485 | 0.9769 |  0.79  | 0.3803 | 0.2468 | 0.7353 
ours-3-148k| 0.8652 | 0.8854 | 0.796  | 0.9442 | 0.9724 | 0.796  | 0.3777 | 0.245  | 0.7352 
ours-3-121k| 0.866  | 0.8853 | 0.795  | 0.9417 | 0.9747 | 0.795  | 0.3773 | 0.2464 | 0.7352 
ours-1-72k| 0.8647 | 0.8861 | 0.797  | 0.941  | 0.9751 | 0.797  | 0.3747 | 0.245  | 0.7351 
ours-1-71k| 0.863  | 0.8855 | 0.795  | 0.9448 | 0.9751 | 0.795  | 0.377  | 0.2446 | 0.735  
ours-2-109k| 0.8637 | 0.8832 | 0.787  | 0.9543 | 0.9739 | 0.787  | 0.3827 | 0.2458 | 0.7347 
ours-2-92k| 0.8655 | 0.8859 | 0.796  | 0.9383 | 0.9752 | 0.796  | 0.375  | 0.2456 | 0.7347 
ours-2-105k| 0.8637 | 0.8818 |  0.79  | 0.9492 | 0.9767 |  0.79  | 0.3793 | 0.2464 | 0.7346 
ours-4-172k| 0.8665 | 0.8849 | 0.799  | 0.9375 | 0.9693 | 0.799  | 0.375  | 0.2444 | 0.7345 
ours-2-89k| 0.8654 | 0.8856 | 0.796  | 0.938  | 0.9735 | 0.796  | 0.374  | 0.2456 | 0.7343 
ours-2-79k| 0.8648 | 0.8854 | 0.794  | 0.9425 | 0.9717 | 0.794  | 0.377  | 0.2444 | 0.7342 
ours-4-186k| 0.8654 | 0.8839 | 0.792  | 0.9455 | 0.9723 | 0.792  | 0.3777 | 0.2448 | 0.7342 
ours-1-74k| 0.8638 | 0.8832 |  0.79  | 0.9462 | 0.9757 |  0.79  | 0.3787 | 0.2458 | 0.7342 
ours-3-147k| 0.8656 | 0.885  | 0.795  | 0.9417 | 0.9698 | 0.795  | 0.377  | 0.2436 | 0.7341 
ours-3-143k| 0.8654 | 0.8831 | 0.787  | 0.9483 | 0.9744 | 0.787  | 0.381  | 0.2462 | 0.7341 
ours-2-117k| 0.8639 | 0.8848 | 0.794  | 0.9397 | 0.9739 | 0.794  | 0.376  | 0.2456 | 0.734  
ours-2-108k| 0.8656 | 0.8834 | 0.789  | 0.9493 | 0.9712 | 0.789  | 0.3787 | 0.2438 | 0.7338 
ours-2-90k| 0.8633 | 0.8839 | 0.791  | 0.9448 | 0.9739 | 0.791  | 0.3767 | 0.2454 | 0.7337 
ours-2-94k| 0.8636 | 0.8815 | 0.786  | 0.9485 | 0.9771 | 0.786  | 0.3797 | 0.2472 | 0.7337 
