Test folder: ./output/december/mpnet_only_supervise_label_50739/data_all_50739/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
------------------------------------------------------------------------------------------
mpnet     | 0.6892 | 0.7061 |  0.5   | 0.8675 | 0.9495 |  0.5   | 0.3377 | 0.234  | 0.598  
bert      | 0.6072 | 0.6155 | 0.382  | 0.7757 | 0.8929 | 0.382  | 0.3023 | 0.2182 | 0.522  
bert-tiny | 0.6509 | 0.6638 | 0.439  | 0.8338 | 0.9341 | 0.439  | 0.322  | 0.2292 | 0.564  
roberta   | 0.6564 | 0.6683 |  0.45  | 0.8333 | 0.938  |  0.45  | 0.3263 | 0.2314 | 0.5692 
sbert     | 0.6809 | 0.6963 | 0.487  | 0.8578 | 0.9507 | 0.487  | 0.336  | 0.2348 | 0.5913 
ours-3-161k| 0.8925 |  0.91  | 0.837  | 0.9578 | 0.9819 | 0.837  | 0.386  | 0.2496 | 0.7565 
ours-3-197k| 0.8924 | 0.9104 |  0.84  | 0.9515 | 0.9778 |  0.84  | 0.3823 | 0.247  | 0.7552 
ours-3-198k| 0.8912 | 0.9102 | 0.836  | 0.9567 | 0.9785 | 0.836  | 0.3847 | 0.248  | 0.7551 
ours-4-248k| 0.889  | 0.9078 | 0.833  | 0.956  | 0.9792 | 0.833  | 0.3843 | 0.248  | 0.7538 
ours-4-232k| 0.8907 | 0.9075 | 0.835  | 0.9518 | 0.9781 | 0.835  | 0.3823 | 0.249  | 0.7537 
ours-3-201k| 0.8883 | 0.9081 | 0.836  | 0.9523 | 0.9783 | 0.836  | 0.3827 | 0.2472 | 0.7536 
ours-4-250k| 0.8883 | 0.9086 | 0.837  | 0.9498 | 0.9785 | 0.837  | 0.381  | 0.2474 | 0.7534 
ours-3-162k| 0.8889 | 0.9086 | 0.834  |  0.95  | 0.9791 | 0.834  | 0.3827 | 0.2484 | 0.7532 
ours-3-185k| 0.8892 | 0.9067 |  0.83  | 0.955  | 0.9792 |  0.83  | 0.3843 | 0.248  | 0.7528 
ours-4-243k| 0.8875 | 0.9065 | 0.834  | 0.9517 | 0.9768 | 0.834  | 0.383  | 0.2476 | 0.7526 
ours-4-203k| 0.8878 | 0.906  | 0.831  | 0.955  | 0.9767 | 0.831  | 0.3837 | 0.247  | 0.7523 
ours-3-188k| 0.8871 | 0.9053 | 0.829  | 0.9562 | 0.9787 | 0.829  | 0.3853 | 0.2476 | 0.7523 
ours-4-245k| 0.8868 | 0.9054 | 0.834  | 0.9485 | 0.9782 | 0.834  | 0.3823 | 0.2482 | 0.7522 
ours-4-249k| 0.8864 | 0.9058 | 0.831  | 0.9508 | 0.9796 | 0.831  | 0.3823 | 0.2476 | 0.7518 
ours-4-251k| 0.8862 | 0.9054 |  0.83  | 0.952  | 0.9796 |  0.83  | 0.3833 | 0.2478 | 0.7518 
ours-2-152k| 0.887  | 0.9069 | 0.833  | 0.948  | 0.978  | 0.833  | 0.3803 | 0.2472 | 0.7517 
ours-3-179k| 0.8883 | 0.9058 | 0.829  | 0.9518 | 0.9781 | 0.829  | 0.3827 | 0.248  | 0.7516 
ours-3-154k| 0.8866 | 0.9051 |  0.83  | 0.953  | 0.9776 |  0.83  | 0.383  | 0.2474 | 0.7516 
ours-4-244k| 0.8859 | 0.9045 | 0.828  | 0.9537 | 0.9782 | 0.828  | 0.3833 | 0.248  | 0.7512 
ours-4-217k| 0.8875 | 0.9053 | 0.832  | 0.9467 | 0.9779 | 0.832  |  0.38  | 0.247  | 0.751  
ours-3-171k| 0.8862 | 0.9058 | 0.832  | 0.9473 | 0.9768 | 0.832  | 0.3807 | 0.2474 | 0.751  
ours-4-237k| 0.8873 | 0.9046 | 0.829  | 0.9515 | 0.9756 | 0.829  | 0.3827 | 0.2464 | 0.7508 
ours-4-239k| 0.887  | 0.9041 |  0.83  | 0.9478 | 0.9776 |  0.83  | 0.3807 | 0.2482 | 0.7507 
ours-3-163k| 0.8846 | 0.9036 | 0.824  | 0.9562 |  0.98  | 0.824  | 0.3837 | 0.248  | 0.7505 
ours-4-205k| 0.8861 | 0.9033 | 0.828  | 0.9497 | 0.9778 | 0.828  | 0.3813 | 0.2484 | 0.7503 
ours-3-174k| 0.8841 | 0.9027 | 0.825  | 0.9543 | 0.9782 | 0.825  | 0.384  | 0.2472 | 0.7501 
ours-3-202k| 0.8844 | 0.9018 | 0.824  | 0.9537 | 0.9802 | 0.824  | 0.3823 | 0.249  | 0.7499 
ours-4-225k| 0.8843 | 0.903  | 0.827  | 0.9497 | 0.9785 | 0.827  | 0.382  | 0.248  | 0.7499 
ours-3-194k| 0.8832 | 0.9019 | 0.824  | 0.9555 | 0.9797 | 0.824  | 0.383  | 0.2478 | 0.7499 
ours-3-175k| 0.8837 | 0.9027 | 0.828  | 0.9505 | 0.9759 | 0.828  | 0.3833 | 0.2462 | 0.7498 
ours-3-180k| 0.8845 | 0.903  | 0.823  | 0.9558 | 0.9778 | 0.823  | 0.384  | 0.247  | 0.7498 
ours-3-200k| 0.8853 | 0.904  | 0.826  | 0.9505 | 0.978  | 0.826  | 0.3813 | 0.247  | 0.7498 
ours-3-184k| 0.8849 | 0.9029 | 0.825  | 0.9492 | 0.9808 | 0.825  | 0.382  | 0.2484 | 0.7498 
ours-3-195k| 0.8844 | 0.9025 | 0.825  | 0.9525 | 0.9784 | 0.825  | 0.3827 | 0.2474 | 0.7497 
ours-3-192k| 0.8862 | 0.9039 | 0.826  | 0.9493 | 0.9783 | 0.826  | 0.381  | 0.2472 | 0.7497 
ours-2-143k| 0.8845 | 0.905  | 0.827  | 0.9513 | 0.9762 | 0.827  | 0.3803 | 0.2462 | 0.7497 
ours-2-132k| 0.8825 | 0.9038 | 0.824  | 0.9557 | 0.9765 | 0.824  | 0.3837 | 0.2468 | 0.7496 
ours-3-181k| 0.8843 | 0.9014 | 0.822  | 0.953  | 0.9809 | 0.822  | 0.3843 | 0.2488 | 0.7496 
ours-3-156k| 0.8841 | 0.9033 | 0.825  | 0.9515 | 0.9761 | 0.825  | 0.3837 | 0.2472 | 0.7495 
ours-3-159k| 0.8836 | 0.9006 | 0.821  | 0.9575 | 0.9784 | 0.821  | 0.3853 | 0.2482 | 0.7495 
ours-4-204k| 0.8837 | 0.902  | 0.828  | 0.9483 | 0.9768 | 0.828  | 0.381  | 0.2474 | 0.7494 
ours-3-199k| 0.884  | 0.9033 | 0.827  | 0.9498 | 0.9769 | 0.827  | 0.3807 | 0.2462 | 0.7494 
ours-2-147k| 0.8864 | 0.9037 | 0.827  | 0.948  | 0.9758 | 0.827  |  0.38  | 0.2466 | 0.7493 
ours-4-252k| 0.8837 | 0.9017 | 0.824  | 0.9522 | 0.9784 | 0.824  | 0.3827 | 0.2478 | 0.7493 
ours-4-206k| 0.8836 | 0.9018 | 0.827  | 0.9497 | 0.9756 | 0.827  | 0.3817 | 0.2464 | 0.7491 
ours-3-196k| 0.8837 | 0.9044 | 0.827  | 0.9488 | 0.9761 | 0.827  | 0.3793 | 0.2458 | 0.749  
ours-3-167k| 0.8815 | 0.9004 | 0.824  | 0.9527 | 0.9783 | 0.824  | 0.3833 | 0.2478 | 0.749  
ours-4-246k| 0.8833 | 0.9022 | 0.825  | 0.9498 | 0.9783 | 0.825  | 0.3807 | 0.2476 | 0.749  
ours-4-231k| 0.8839 | 0.9024 | 0.824  | 0.9503 | 0.9785 | 0.824  | 0.3807 | 0.2478 | 0.7489 
ours-4-242k| 0.8824 | 0.9001 | 0.823  | 0.9495 |  0.98  | 0.823  | 0.3827 | 0.2496 | 0.7488 
ours-2-136k| 0.8817 | 0.903  |  0.82  | 0.9575 | 0.9771 |  0.82  | 0.3843 | 0.2466 | 0.7488 
ours-3-169k| 0.8823 | 0.9013 | 0.823  | 0.9522 | 0.9784 | 0.823  | 0.382  | 0.2474 | 0.7487 
ours-3-183k| 0.8842 | 0.9022 | 0.825  | 0.9485 | 0.9769 | 0.825  | 0.3813 | 0.2462 | 0.7487 
ours-2-150k| 0.8832 | 0.9033 | 0.827  | 0.9465 | 0.9758 | 0.827  | 0.3793 | 0.2462 | 0.7485 
ours-3-165k| 0.8821 | 0.9019 | 0.822  | 0.952  | 0.978  | 0.822  | 0.3827 | 0.2474 | 0.7485 
ours-2-149k| 0.8834 | 0.9033 | 0.825  | 0.9477 | 0.9773 | 0.825  | 0.379  | 0.247  | 0.7485 
ours-3-160k| 0.8823 | 0.9008 | 0.819  | 0.9572 | 0.9774 | 0.819  | 0.3847 | 0.247  | 0.7484 
ours-3-182k| 0.8828 | 0.9007 | 0.821  | 0.9512 | 0.9802 | 0.821  | 0.3827 | 0.2476 | 0.7484 
ours-2-137k| 0.8813 | 0.9026 | 0.821  | 0.9543 | 0.9773 | 0.821  | 0.383  | 0.2466 | 0.7484 
ours-3-153k| 0.8818 | 0.9009 | 0.822  | 0.9515 | 0.9784 | 0.822  | 0.3827 | 0.2478 | 0.7484 
ours-2-133k| 0.8811 | 0.9012 | 0.821  | 0.9512 | 0.9801 | 0.821  | 0.383  | 0.2482 | 0.7484 
ours-3-164k| 0.8819 | 0.9002 | 0.818  | 0.9545 | 0.9808 | 0.818  | 0.3837 | 0.2496 | 0.7483 
ours-4-247k| 0.8825 | 0.9012 | 0.823  | 0.9498 | 0.9779 | 0.823  | 0.3817 | 0.2476 | 0.7483 
ours-4-212k| 0.8833 | 0.9004 | 0.824  | 0.9488 | 0.9768 | 0.824  | 0.3817 | 0.2476 | 0.7483 
ours-4-211k| 0.8827 | 0.9006 | 0.823  | 0.9527 | 0.9741 | 0.823  | 0.383  | 0.2474 | 0.7483 
ours-4-208k| 0.883  | 0.9007 | 0.821  | 0.9537 | 0.9763 | 0.821  | 0.3837 | 0.2462 | 0.7482 
ours-2-138k| 0.8823 | 0.9008 | 0.818  | 0.9568 | 0.9767 | 0.818  | 0.3853 | 0.2472 | 0.7481 
ours-4-233k| 0.8816 | 0.8998 |  0.82  | 0.9537 | 0.977  |  0.82  | 0.3843 | 0.2482 | 0.7481 
ours-4-219k| 0.8816 | 0.9002 |  0.82  | 0.9518 | 0.9799 |  0.82  | 0.3823 | 0.2486 | 0.7481 
ours-2-139k| 0.8822 | 0.9015 | 0.822  | 0.9508 | 0.9764 | 0.822  | 0.382  | 0.2466 | 0.7479 
ours-4-234k| 0.8847 | 0.9014 | 0.825  | 0.945  | 0.9751 | 0.825  | 0.3797 | 0.247  | 0.7478 
ours-1-100k| 0.8814 | 0.9007 | 0.822  | 0.9502 | 0.977  | 0.822  | 0.382  | 0.2474 | 0.7478 
ours-3-168k| 0.8823 | 0.8997 | 0.821  | 0.949  | 0.9795 | 0.821  | 0.381  | 0.2488 | 0.7478 
ours-3-187k| 0.8812 | 0.8981 | 0.817  | 0.9557 | 0.9795 | 0.817  | 0.3847 | 0.2486 | 0.7477 
ours-3-178k| 0.8805 | 0.8996 | 0.821  | 0.9487 | 0.9809 | 0.821  | 0.381  | 0.249  | 0.7477 
ours-4-238k| 0.8831 | 0.8992 | 0.819  | 0.952  | 0.9779 | 0.819  | 0.383  | 0.2482 | 0.7477 
ours-2-146k| 0.8838 | 0.9013 |  0.82  | 0.9502 | 0.9774 |  0.82  | 0.3813 | 0.247  | 0.7476 
ours-4-209k| 0.8815 | 0.8996 |  0.82  | 0.9547 | 0.9742 |  0.82  | 0.3847 | 0.2462 | 0.7476 
ours-4-226k| 0.8838 | 0.9008 | 0.824  | 0.9475 | 0.9736 | 0.824  | 0.3813 | 0.2458 | 0.7476 
ours-2-142k| 0.8809 | 0.9001 | 0.819  | 0.953  | 0.9771 | 0.819  | 0.384  | 0.2476 | 0.7476 
ours-4-253k| 0.8802 |  0.9   |  0.82  | 0.951  | 0.9766 |  0.82  | 0.3837 | 0.2472 | 0.7473 
ours-3-186k| 0.8809 | 0.8982 | 0.816  | 0.9552 | 0.9793 | 0.816  | 0.384  | 0.248  | 0.7472 
ours-2-109k| 0.8798 | 0.8998 | 0.821  | 0.9522 | 0.9755 | 0.821  | 0.382  | 0.2462 | 0.7472 
ours-2-148k| 0.8828 | 0.9005 | 0.819  |  0.95  | 0.9777 | 0.819  | 0.3807 | 0.2476 | 0.7472 
ours-3-190k| 0.8804 | 0.8984 | 0.818  | 0.9547 | 0.9763 | 0.818  | 0.384  | 0.2466 | 0.7471 
ours-3-170k| 0.8805 | 0.9004 | 0.821  | 0.9502 | 0.9752 | 0.821  | 0.3817 | 0.2464 | 0.747  
ours-4-241k| 0.8809 | 0.899  |  0.82  | 0.9478 | 0.9781 |  0.82  | 0.382  | 0.2484 | 0.747  
ours-2-141k| 0.8821 | 0.9009 | 0.818  | 0.9537 | 0.9747 | 0.818  | 0.3823 | 0.2456 | 0.7469 
ours-2-134k| 0.8799 | 0.9002 | 0.819  | 0.9522 | 0.976  | 0.819  | 0.3823 | 0.246  | 0.7468 
ours-4-215k| 0.8825 |  0.9   | 0.821  | 0.9473 | 0.9755 | 0.821  |  0.38  | 0.247  | 0.7468 
ours-4-229k| 0.8799 | 0.899  | 0.818  | 0.9508 | 0.9775 | 0.818  | 0.3827 | 0.2474 | 0.7467 
ours-4-213k| 0.8822 | 0.8996 | 0.819  | 0.9492 | 0.9761 | 0.819  | 0.381  | 0.2468 | 0.7466 
ours-4-207k| 0.8814 | 0.8993 | 0.821  | 0.9482 | 0.975  | 0.821  | 0.3803 | 0.2464 | 0.7466 
ours-3-172k| 0.8813 | 0.8995 | 0.818  | 0.9513 | 0.9767 | 0.818  | 0.3807 | 0.247  | 0.7466 
ours-2-145k| 0.8816 | 0.8999 |  0.82  | 0.9493 | 0.9756 |  0.82  | 0.3797 | 0.246  | 0.7465 
ours-4-216k| 0.8806 | 0.8997 | 0.823  | 0.9457 | 0.9738 | 0.823  |  0.38  | 0.2458 | 0.7465 
ours-3-176k|  0.88  | 0.8983 | 0.817  | 0.952  | 0.9776 | 0.817  | 0.3817 | 0.2474 | 0.7464 
ours-3-157k| 0.879  | 0.8994 | 0.819  | 0.9472 | 0.9782 | 0.819  | 0.381  | 0.2476 | 0.7463 
ours-2-121k| 0.8798 | 0.8985 | 0.814  | 0.9547 | 0.9785 | 0.814  | 0.3837 | 0.2472 | 0.7463 
ours-4-223k| 0.8812 | 0.8992 | 0.819  | 0.9497 | 0.9742 | 0.819  | 0.3823 | 0.2458 | 0.7463 
ours-4-235k|  0.88  | 0.8967 | 0.818  | 0.9477 | 0.9782 | 0.818  | 0.3817 | 0.2484 | 0.7461 
ours-4-214k| 0.881  | 0.8974 | 0.817  | 0.9495 | 0.9766 | 0.817  | 0.3823 | 0.2472 | 0.746  
ours-4-218k| 0.8803 | 0.8974 | 0.816  | 0.9492 | 0.9783 | 0.816  | 0.382  | 0.2482 | 0.7459 
ours-4-224k| 0.8797 | 0.898  | 0.817  | 0.9487 | 0.9778 | 0.817  | 0.3813 | 0.2468 | 0.7458 
ours-3-191k| 0.8804 | 0.8967 | 0.813  | 0.9553 | 0.9761 | 0.813  | 0.3853 | 0.2464 | 0.7458 
ours-2-113k| 0.8768 | 0.8986 |  0.82  | 0.9467 | 0.9769 |  0.82  |  0.38  | 0.2466 | 0.7457 
ours-2-135k| 0.877  | 0.8972 | 0.814  | 0.9547 | 0.9779 | 0.814  | 0.3837 | 0.247  | 0.7457 
ours-4-236k| 0.8798 | 0.8986 |  0.82  | 0.9478 | 0.9725 |  0.82  |  0.38  | 0.2458 | 0.7456 
ours-4-230k| 0.8812 | 0.8984 | 0.819  | 0.9437 | 0.9766 | 0.819  | 0.3787 | 0.248  | 0.7456 
