Test folder: ./output/medical/medical_train_12241_74733/medical_data_12241_74733_split/shared/avg/mpnet/contra-query-False1False/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
------------------------------------------------------------------------------------------
mpnet     | 0.7679 | 0.7679 | 0.6267 | 0.8933 |  0.98  | 0.6267 | 0.2978 | 0.196  | 0.6445 
bert      | 0.7335 | 0.7335 | 0.5767 | 0.8767 |  0.99  | 0.5767 | 0.2922 | 0.198  | 0.6221 
bert-tiny | 0.6635 | 0.6635 | 0.4767 |  0.82  | 0.9633 | 0.4767 | 0.2733 | 0.1927 | 0.5662 
ance      | 0.719  | 0.719  |  0.56  |  0.86  |  0.96  |  0.56  | 0.2867 | 0.192  | 0.6071 
roberta   |  0.69  |  0.69  | 0.5233 | 0.8233 |  0.96  | 0.5233 | 0.2744 | 0.192  | 0.5845 
dpr       | 0.6403 | 0.6403 | 0.4633 |  0.77  | 0.9233 | 0.4633 | 0.2567 | 0.1847 | 0.5427 
tas-b     | 0.7103 | 0.7103 | 0.5467 |  0.84  |  0.95  | 0.5467 |  0.28  |  0.19  | 0.5967 
sbert     | 0.7455 | 0.7455 | 0.5967 | 0.8733 |  0.97  | 0.5967 | 0.2911 | 0.194  | 0.6266 
ours-0-2k | 0.8263 | 0.8263 | 0.7133 | 0.9367 | 0.9867 | 0.7133 | 0.3122 | 0.1973 | 0.689  
ours-0-3k | 0.8188 | 0.8188 |  0.7   | 0.9333 |  1.0   |  0.7   | 0.3111 |  0.2   | 0.6853 
ours-0-4k | 0.7995 | 0.7995 |  0.67  | 0.9333 |  0.99  |  0.67  | 0.3111 | 0.198  | 0.6714 
ours-0-1k | 0.8003 | 0.8003 |  0.67  | 0.9167 | 0.9933 |  0.67  | 0.3056 | 0.1987 | 0.6694 
ours-1-17k| 0.8011 | 0.8011 | 0.6667 | 0.9233 |  0.99  | 0.6667 | 0.3078 | 0.198  | 0.6693 
ours-0-10k| 0.7979 | 0.7979 |  0.66  |  0.93  | 0.9867 |  0.66  |  0.31  | 0.1973 | 0.6675 
ours-1-15k| 0.7915 | 0.7915 |  0.65  |  0.94  | 0.9867 |  0.65  | 0.3133 | 0.1973 | 0.665  
ours-1-21k| 0.7936 | 0.7936 | 0.6633 | 0.9167 | 0.9867 | 0.6633 | 0.3056 | 0.1973 | 0.665  
ours-1-16k| 0.793  | 0.793  | 0.6533 | 0.9333 | 0.9833 | 0.6533 | 0.3111 | 0.1967 | 0.6646 
ours-0-5k | 0.7909 | 0.7909 | 0.6533 |  0.92  | 0.9933 | 0.6533 | 0.3067 | 0.1987 | 0.6634 
ours-0-6k | 0.7927 | 0.7927 | 0.6533 |  0.92  | 0.9867 | 0.6533 | 0.3067 | 0.1973 | 0.6628 
ours-2-26k| 0.7857 | 0.7857 | 0.6433 | 0.9333 |  0.99  | 0.6433 | 0.3111 | 0.198  | 0.6613 
ours-0-11k| 0.7878 | 0.7878 | 0.6433 | 0.9267 | 0.9933 | 0.6433 | 0.3089 | 0.1987 | 0.6612 
ours-0-8k | 0.7847 | 0.7847 | 0.6433 | 0.9267 |  0.99  | 0.6433 | 0.3089 | 0.198  |  0.66  
ours-3-45k| 0.7867 | 0.7867 |  0.65  | 0.9133 | 0.9833 |  0.65  | 0.3044 | 0.1967 | 0.6589 
ours-0-12k| 0.7836 | 0.7836 |  0.64  |  0.92  | 0.9867 |  0.64  | 0.3067 | 0.1973 | 0.6572 
ours-1-13k| 0.7794 | 0.7794 |  0.63  |  0.94  | 0.9833 |  0.63  | 0.3133 | 0.1967 | 0.6565 
ours-2-32k| 0.7834 | 0.7834 |  0.64  |  0.92  | 0.9767 |  0.64  | 0.3067 | 0.1953 | 0.6557 
ours-1-18k| 0.7811 | 0.7811 |  0.64  |  0.92  | 0.9767 |  0.64  | 0.3067 | 0.1953 | 0.6551 
ours-2-30k| 0.7802 | 0.7802 |  0.64  | 0.9133 | 0.9767 |  0.64  | 0.3044 | 0.1953 | 0.6538 
ours-3-47k| 0.777  | 0.777  | 0.6367 | 0.9133 | 0.9833 | 0.6367 | 0.3044 | 0.1967 | 0.6531 
ours-4-60k| 0.7791 | 0.7791 | 0.6333 |  0.91  | 0.9833 | 0.6333 | 0.3033 | 0.1967 | 0.6523 
ours-2-25k| 0.7768 | 0.7768 | 0.6233 | 0.9267 |  0.98  | 0.6233 | 0.3089 | 0.196  | 0.6515 
ours-4-50k| 0.7758 | 0.7758 | 0.6367 | 0.9067 | 0.9767 | 0.6367 | 0.3022 | 0.1953 | 0.6507 
ours-3-38k| 0.7697 | 0.7697 |  0.62  |  0.92  | 0.9867 |  0.62  | 0.3067 | 0.1973 | 0.6488 
ours-1-19k| 0.7718 | 0.7718 | 0.6167 | 0.9267 |  0.98  | 0.6167 | 0.3089 | 0.196  | 0.6486 
ours-1-20k| 0.7682 | 0.7682 | 0.6167 |  0.93  |  0.98  | 0.6167 |  0.31  | 0.196  | 0.6482 
ours-3-41k| 0.7746 | 0.7746 |  0.64  | 0.8933 |  0.97  |  0.64  | 0.2978 | 0.194  | 0.648  
ours-1-24k| 0.7723 | 0.7723 |  0.63  |  0.9   |  0.98  |  0.63  |  0.3   | 0.196  | 0.6476 
ours-0-9k | 0.7638 | 0.7638 |  0.61  | 0.9267 | 0.9933 |  0.61  | 0.3089 | 0.1987 | 0.6469 
ours-1-14k| 0.7643 | 0.7643 | 0.6133 | 0.9233 | 0.9867 | 0.6133 | 0.3078 | 0.1973 | 0.6463 
ours-3-42k| 0.7699 | 0.7699 | 0.6267 | 0.8967 |  0.98  | 0.6267 | 0.2989 | 0.196  | 0.6456 
ours-3-43k| 0.7691 | 0.7691 | 0.6233 |  0.9   | 0.9767 | 0.6233 |  0.3   | 0.1953 | 0.6446 
ours-2-27k| 0.7624 | 0.7624 | 0.6067 | 0.9233 | 0.9833 | 0.6067 | 0.3078 | 0.1967 | 0.6437 
ours-2-35k| 0.7618 | 0.7618 |  0.6   | 0.9333 | 0.9833 |  0.6   | 0.3111 | 0.1967 | 0.6435 
